ID,PRODUCTO,UNIDAD,PRESENTACION,PRECIO UNITARIO,PESO,
,Semillas de hortalizas/sobre espinaca,pz,1,38,,
,Semillas de hortalizas/sobre zanahoria,pz,1,38,,
,Semillas de hortalizas/sobre Ejote verde,pz,1,38,,
,Semillas de hortalizas/sobre Lechuga,pz,1,38,,
1901,"Pasta rellena: Sorrentinos (orden x8) Espinacas, queso chiapas y nueces",paq,1,80,,
,"Pasta rellena: Sorrentinos (orden x8) Quelites, requeson y almendras",paq,1,80,,
,Pasta rellena: Sorrentinos (orden x8) Carne a la bolonesa,paq,1,80,,
,Pasta rellena: Ravioles(orden x9) Setas al ajillo,paq,1,80,,
,Pasta rellena: Ravioles(orden x9) Queso azul y sofrito de tomate,paq,1,80,,
,Pasta fresca: fettuccini,grs,125,40,125 grs,
,Pasta rellena + salsa de tomate + queso rallado Combo,paq,1,125,,
,Pasta rellena + pesto + queso rallado Combo,paq,1,145,,
,Fettucini + salsa de tomate + queso rallado Combo,paq,1,85,,
,Fettucini + pesto + queso rallado Combo,paq,1,97,,
,empanadas (orden x6) Carne estilo argentino,paq,1,150,,
,"empanadas (orden x6) elote tierno, bechamel y queso",paq,1,150,,
,empanadas (orden x6) salteado de espinacas con queso,paq,1,150,,
,Pizza (orden x2) Salsa de tomate y mozzarella,paq,1,125,,
,Jabon organico ,pz,1,40,100 grs,
,Jabon con avena coloidal para bebe,pz,1,40,,
,"Jabon hidratante leche de coco, avena y miel",pz,1,40,,
,Jabon cicatrizante de tepezcohuite,pz,1,60,,
,Jabon exfoliante carbon activado,pz,1,60,,
,Jabon de romero,pz,1,80,,
,Jabon de calendula,pz,1,90,,
,Tonico facial rosas y colageno piel normal-sensible,ml,120,120,120 ml,
,Tonico facial romero y arbol de te piel mixta-grasa,ml,120,100,120 ml,
,Desmaquillante Agua micelar con hidrosol de rosas,ml,60,50,60 ml,
,Crema facil ligera piel mixta-grasa,grs,30,80,30 grs,
,Crema facil antiedad colageno y aceido hialuronico,grs,30,100,30 grs,
,Serum Aclarante con vitamina C,ml,30,350,30 ml,
,Serum Botox antiedad de Acido Hialuronico,ml,30,350,30 ml,
,Mascarilla en gel de Aloe Vera,grs,30,70,30 grs,
,LABIOS Balsamo labial hidratante con miel,grs,5,45,5 grs,
,Cepillo coporal anticelulitis grande,pz,1,170,,
,Cepillo coporal anticelulitis chico,pz,1,100,,
,Sales de baño aromaticas de rosas,grs,100,100,100 grs,
,Gel antibacterial con dosificador ,ml,500,75,500 ml,
,Gel antibacterial 1L,litro,1,100,,
112312,Gel antibacterial 0.5L,ml,500,55,0.5 litro,
,Paquete 1kg Fresa + 200grs Zarazmora ,paq,1,140,,
,Envio,servicio,1,1,,
